id,capability,display_name,category,teaching_order,type,mastery_count,teaching_materials,notes
1,notation_staff,The Staff (5 Lines),Fundamentals,1,P,1,,"Must understand staff before any notation"
2,clef_bass,Bass Clef (F Clef),Clefs,2,P,1,,"Trombone's primary clef"
3,notation_time_signature_concept,Time Signature Basics,Fundamentals,3,T,1,,"What time signatures mean in general"
4,time_sig_4_4,4/4 Time (Common Time),Time Signatures,4,P,1,,"Most common meter - start here"
5,notation_key_signature_concept,Key Signature Basics,Fundamentals,5,T,1,,"What key signatures mean"
6,key_c_major,C Major / A minor,Key Signatures,6,P,1,,"No sharps/flats - easiest to read"
7,notation_sharp,Sharp Symbol (♯),Fundamentals,7,T,1,,"Raises pitch by half step"
8,notation_flat,Flat Symbol (♭),Fundamentals,8,T,1,,"Lowers pitch by half step"
9,note_whole,Whole Note,Note Values,9,P,1,long_tone_whole_F3.musicxml,"4 beats - good for long tones"
10,note_half,Half Note,Note Values,10,P,1,long_tone_half_F3.musicxml,"2 beats"
11,note_quarter,Quarter Note,Note Values,11,P,1,quarter_note_exercise.musicxml,"1 beat - the pulse"
12,rest_whole,Whole Rest,Rests,12,P,1,,"4 beats of silence"
13,rest_half,Half Rest,Rests,13,P,1,,"2 beats of silence"
14,rest_quarter,Quarter Rest,Rests,14,P,1,,"1 beat of silence"
15,interval_melodic_M2_ascending,Major 2nd Up,Melodic Intervals Asc,15,P,1,do_re_do.musicxml,"First interval - stepwise motion"
16,interval_melodic_M2_descending,Major 2nd Down,Melodic Intervals Desc,16,P,1,re_do_re.musicxml,"Descending step"
17,key_f_major,F Major / D minor,Key Signatures,17,P,1,,"1 flat - natural key for brass"
18,interval_melodic_m2_ascending,Minor 2nd Up,Melodic Intervals Asc,18,P,1,,"Half step up"
19,interval_melodic_m2_descending,Minor 2nd Down,Melodic Intervals Desc,19,P,1,,"Half step down"
20,interval_melodic_M3_ascending,Major 3rd Up,Melodic Intervals Asc,20,P,1,do_mi_do.musicxml,"Skip - Do to Mi"
21,interval_melodic_M3_descending,Major 3rd Down,Melodic Intervals Desc,21,P,1,,"Mi to Do"
22,interval_melodic_m3_ascending,Minor 3rd Up,Melodic Intervals Asc,22,P,1,,"Smaller skip"
23,interval_melodic_m3_descending,Minor 3rd Down,Melodic Intervals Desc,23,P,1,,""
24,note_eighth,Eighth Note,Note Values,24,P,2,eighth_note_intro.musicxml,"Half a beat - subdivision begins"
25,rest_eighth,Eighth Rest,Rests,25,P,1,,"Half beat rest"
26,articulation_legato,Legato,Articulations,26,P,2,slur_pairs.musicxml,"Smooth connected - slurs"
27,articulation_staccato,Staccato,Articulations,27,P,2,staccato_intro.musicxml,"Short detached"
28,interval_melodic_P4_ascending,Perfect 4th Up,Melodic Intervals Asc,28,P,1,,"Do to Fa"
29,interval_melodic_P4_descending,Perfect 4th Down,Melodic Intervals Desc,29,P,1,,""
30,interval_melodic_P5_ascending,Perfect 5th Up,Melodic Intervals Asc,30,P,1,,"Do to Sol"
31,interval_melodic_P5_descending,Perfect 5th Down,Melodic Intervals Desc,31,P,1,,""
32,dynamic_p,Piano (p),Dynamics,32,P,1,,"Soft - core dynamic"
33,dynamic_f,Forte (f),Dynamics,33,P,1,,"Loud - core dynamic"
34,time_sig_3_4,3/4 Time (Waltz Time),Time Signatures,34,P,1,,"Waltz feel"
35,time_sig_2_4,2/4 Time,Time Signatures,35,P,1,,"March feel"
36,key_bb_major,Bb Major / G minor,Key Signatures,36,P,1,,"2 flats - common brass key"
37,key_g_major,G Major / E minor,Key Signatures,37,P,1,,"1 sharp"
38,note_dotted_half,Dotted Half Note,Note Values,38,P,1,,"3 beats"
39,note_dotted_quarter,Dotted Quarter Note,Note Values,39,P,1,,"1.5 beats"
40,notation_ties,Tied Notes,Note Values,40,P,1,,"Connected duration"
41,articulation_accent,Accent (>),Articulations,41,P,2,accent_study.musicxml,"Emphasis"
42,articulation_tenuto,Tenuto (-),Articulations,42,P,1,,"Full value"
43,interval_melodic_m6_ascending,Minor 6th Up,Melodic Intervals Asc,43,P,1,,""
44,interval_melodic_m6_descending,Minor 6th Down,Melodic Intervals Desc,44,P,1,,""
45,interval_melodic_M6_ascending,Major 6th Up,Melodic Intervals Asc,45,P,1,,""
46,interval_melodic_M6_descending,Major 6th Down,Melodic Intervals Desc,46,P,1,,""
47,note_sixteenth,Sixteenth Note,Note Values,47,P,3,sixteenth_intro.musicxml,"Fast subdivision"
48,rest_sixteenth,Sixteenth Rest,Rests,48,P,1,,""
49,tuplet_triplet,Triplet,Tuplets,49,P,2,triplet_intro.musicxml,"3 in space of 2"
50,time_sig_6_8,6/8 Time,Time Signatures,50,P,1,,"Compound duple"
51,dynamic_mp,Mezzo-piano (mp),Dynamics,51,T,1,,"Medium soft"
52,dynamic_mf,Mezzo-forte (mf),Dynamics,52,T,1,,"Medium loud"
53,dynamic_pp,Pianissimo (pp),Dynamics,53,T,1,,"Very soft"
54,dynamic_ff,Fortissimo (ff),Dynamics,54,T,1,,"Very loud"
55,dynamic_change_crescendo,Crescendo,Dynamic Changes,55,T,1,,"Getting louder"
56,dynamic_change_diminuendo,Diminuendo / Decrescendo,Dynamic Changes,56,T,1,,"Getting softer"
57,interval_melodic_P8_ascending,Octave Up,Melodic Intervals Asc,57,P,1,,"Full octave leap"
58,interval_melodic_P8_descending,Octave Down,Melodic Intervals Desc,58,P,1,,""
59,interval_melodic_m7_ascending,Minor 7th Up,Melodic Intervals Asc,59,P,1,,""
60,interval_melodic_m7_descending,Minor 7th Down,Melodic Intervals Desc,60,P,1,,""
61,interval_melodic_M7_ascending,Major 7th Up,Melodic Intervals Asc,61,P,1,,""
62,interval_melodic_M7_descending,Major 7th Down,Melodic Intervals Desc,62,P,1,,""
63,interval_melodic_A4_ascending,Tritone Up,Melodic Intervals Asc,63,P,1,,"Augmented 4th / Diminished 5th"
64,interval_melodic_A4_descending,Tritone Down,Melodic Intervals Desc,64,P,1,,""
65,key_d_major,D Major / B minor,Key Signatures,65,P,1,,"2 sharps"
66,key_eb_major,Eb Major / C minor,Key Signatures,66,P,1,,"3 flats"
67,key_a_major,A Major / F# minor,Key Signatures,67,P,1,,"3 sharps"
68,key_ab_major,Ab Major / F minor,Key Signatures,68,P,1,,"4 flats"
69,time_sig_2_2,2/2 Time (Cut Time),Time Signatures,69,P,1,,"Alla breve"
70,articulation_marcato,Marcato (^),Articulations,70,P,1,,"Strong accent"
71,articulation_portato,Portato,Articulations,71,P,1,,"Legato staccato"
72,articulation_staccatissimo,Staccatissimo,Articulations,72,P,1,,"Very short"
73,ornament_grace_note,Grace Note,Ornaments,73,P,2,grace_note_intro.musicxml,"Quick ornamental note"
74,ornament_trill,Trill,Ornaments,74,P,2,trill_intro.musicxml,"Rapid alternation"
75,ornament_mordent,Mordent,Ornaments,75,P,1,,""
76,ornament_inverted_mordent,Inverted Mordent (Prall),Ornaments,76,P,1,,""
77,ornament_turn,Turn,Ornaments,77,P,1,,""
78,ornament_inverted_turn,Inverted Turn,Ornaments,78,P,1,,""
79,repeat_sign,Repeat Sign,Repeat Structures,79,P,1,,"Go back and play again"
80,repeat_first_ending,First Ending,Repeat Structures,80,P,1,,""
81,repeat_second_ending,Second Ending,Repeat Structures,81,P,1,,""
82,repeat_dc,D.C. (Da Capo),Repeat Structures,82,P,1,,"From the beginning"
83,repeat_ds,D.S. (Dal Segno),Repeat Structures,83,P,1,,"From the sign"
84,repeat_coda,Coda,Repeat Structures,84,P,1,,""
85,repeat_segno,Segno,Repeat Structures,85,P,1,,""
86,repeat_fine,Fine,Repeat Structures,86,P,1,,"The end"
87,note_dotted_whole,Dotted Whole Note,Note Values,87,P,1,,"6 beats"
88,note_dotted_eighth,Dotted Eighth Note,Note Values,88,P,1,,"0.75 beats"
89,note_dotted_sixteenth,Dotted Sixteenth Note,Note Values,89,P,1,,""
90,note_double_dotted_half,Double-Dotted Half Note,Note Values,90,P,1,,"3.5 beats"
91,note_thirty_second,Thirty-Second Note,Note Values,91,P,1,,"Very fast"
92,note_sixty_fourth,Sixty-Fourth Note,Note Values,92,P,1,,"Extremely fast"
93,rest_thirty_second,Thirty-Second Rest,Rests,93,P,1,,""
94,rest_multi_measure,Multi-Measure Rest,Rests,94,P,1,,""
95,tuplet_duplet,Duplet,Tuplets,95,P,1,,"2 in space of 3 (compound)"
96,tuplet_quintuplet,Quintuplet,Tuplets,96,P,1,,"5 in space of 4"
97,tuplet_sextuplet,Sextuplet,Tuplets,97,P,1,,"6 in space of 4"
98,tuplet_septuplet,Septuplet,Tuplets,98,P,1,,"7 in space of 4"
99,time_sig_9_8,9/8 Time,Time Signatures,99,P,1,,"Compound triple"
100,time_sig_12_8,12/8 Time,Time Signatures,100,P,1,,"Compound quadruple"
101,time_sig_3_8,3/8 Time,Time Signatures,101,P,1,,""
102,time_sig_5_4,5/4 Time,Time Signatures,102,P,1,,"Irregular"
103,time_sig_7_8,7/8 Time,Time Signatures,103,P,1,,"Irregular"
104,time_sig_5_8,5/8 Time,Time Signatures,104,P,1,,"Irregular"
105,key_e_major,E Major / C# minor,Key Signatures,105,P,1,,"4 sharps"
106,key_db_major,Db Major / Bb minor,Key Signatures,106,P,1,,"5 flats"
107,key_b_major,B Major / G# minor,Key Signatures,107,P,1,,"5 sharps"
108,key_gb_major,Gb Major / Eb minor,Key Signatures,108,P,1,,"6 flats"
109,key_f_sharp_major,F# Major / D# minor,Key Signatures,109,P,1,,"6 sharps"
110,key_c_sharp_major,C# Major / A# minor,Key Signatures,110,P,1,,"7 sharps"
111,key_cb_major,Cb Major / Ab minor,Key Signatures,111,P,1,,"7 flats"
112,clef_treble,Treble Clef (G Clef),Clefs,112,P,1,,"For high brass / other instruments"
113,clef_alto,Alto Clef (C Clef),Clefs,113,P,1,,"Viola / advanced trombone"
114,clef_tenor,Tenor Clef (C Clef),Clefs,114,P,1,,"Trombone upper register"
115,clef_treble_8vb,Treble Clef 8vb,Clefs,115,P,1,,""
116,clef_bass_8va,Bass Clef 8va,Clefs,116,P,1,,""
117,dynamic_ppp,Pianississimo (ppp),Dynamics,117,T,1,,"Very very soft"
118,dynamic_fff,Fortississimo (fff),Dynamics,118,T,1,,"Very very loud"
119,dynamic_sf,Sforzando (sf),Dynamics,119,T,1,,"Sudden accent"
120,dynamic_sfz,Sforzato (sfz),Dynamics,120,T,1,,"Strong sudden accent"
121,dynamic_sfp,Sforzando-piano (sfp),Dynamics,121,T,1,,"Accent then soft"
122,dynamic_fp,Forte-piano (fp),Dynamics,122,T,1,,"Loud then immediately soft"
123,dynamic_rf,Rinforzando (rf),Dynamics,123,T,1,,"Reinforced"
124,dynamic_rfz,Rinforzato (rfz),Dynamics,124,T,1,,""
125,dynamic_change_subito,Subito (sudden),Dynamic Changes,125,T,1,,"Sudden change"
126,tempo_largo,Largo,Tempo Terms,126,T,1,,"Very slow"
127,tempo_lento,Lento,Tempo Terms,127,T,1,,"Slow"
128,tempo_adagio,Adagio,Tempo Terms,128,T,1,,"Slow and expressive"
129,tempo_andante,Andante,Tempo Terms,129,T,1,,"Walking pace"
130,tempo_andantino,Andantino,Tempo Terms,130,T,1,,"Slightly faster than andante"
131,tempo_moderato,Moderato,Tempo Terms,131,T,1,,"Moderate speed"
132,tempo_allegretto,Allegretto,Tempo Terms,132,T,1,,"Moderately fast"
133,tempo_allegro,Allegro,Tempo Terms,133,T,1,,"Fast and lively"
134,tempo_vivace,Vivace,Tempo Terms,134,T,1,,"Lively and fast"
135,tempo_presto,Presto,Tempo Terms,135,T,1,,"Very fast"
136,tempo_prestissimo,Prestissimo,Tempo Terms,136,T,1,,"As fast as possible"
137,tempo_accelerando,Accelerando,Tempo Terms,137,T,1,,"Gradually faster"
138,tempo_ritardando,Ritardando (rit.),Tempo Terms,138,T,1,,"Gradually slower"
139,tempo_rallentando,Rallentando (rall.),Tempo Terms,139,T,1,,"Gradually slower"
140,tempo_a_tempo,A tempo,Tempo Terms,140,T,1,,"Return to original tempo"
141,tempo_rubato,Rubato,Tempo Terms,141,T,1,,"Flexible tempo"
142,expression_dolce,Dolce,Expression Terms,142,T,1,,"Sweetly"
143,expression_cantabile,Cantabile,Expression Terms,143,T,1,,"In a singing style"
